days_cash_on_hand,current_ratio,burn_rate_monthly_rm,purchase_amount,purchase_to_burn,is_digitalisation,is_agri,monthly_net_cash,recommended_product,label
49.3,1.904,8000.0,20603.2,2.575,1,0,19689.5,grant,0
58.8,2.047,8000.0,20040.99,2.505,0,0,30010.48,micro_credit,0
58.2,1.94,8843.86,14168.57,1.602,1,0,16685.79,bnpl,0
71.6,1.777,14144.34,4620.73,0.327,0,0,35478.12,grant,0
33.4,1.839,16432.52,6634.03,0.404,0,1,4605.34,bnpl,0
47.4,1.49,8616.07,18560.91,2.154,0,0,35585.56,cash,0
109.9,1.393,9007.84,4789.15,0.532,0,0,-2505.66,grant,0
99.1,2.002,8000.0,8726.72,1.091,0,0,11524.7,grant,0
82.0,1.323,11978.01,9315.07,0.778,1,0,11739.86,micro_credit,0
88.7,1.552,8132.52,11381.16,1.399,0,0,10409.47,grant,0
65.7,1.478,20320.62,16456.99,0.81,0,0,6681.35,micro_credit,0
92.4,1.457,16779.38,14813.63,0.883,0,1,10068.56,cash,0
86.2,1.11,8000.0,6268.81,0.784,0,0,14572.98,micro_credit,0
118.3,2.175,13188.8,15922.12,1.207,0,0,-5000.0,micro_credit,0
61.4,1.329,8000.0,11020.59,1.378,0,0,3502.37,grant,0
25.5,1.759,8000.0,13788.44,1.724,1,0,49333.49,micro_credit,1
52.0,0.842,8701.91,22148.56,2.545,0,0,47250.25,grant,1
44.3,1.689,8027.35,11404.1,1.421,0,0,59598.18,grant,1
37.4,1.621,12215.51,21964.49,1.798,0,0,13763.7,micro_credit,1
82.7,1.44,11171.34,10009.04,0.896,0,0,23188.29,cash,0
65.8,1.656,9767.66,22456.33,2.299,0,0,11074.91,cash,0
30.7,1.903,8000.0,8437.39,1.055,0,0,1278.1,micro_credit,1
109.4,0.952,40618.82,21608.27,0.532,0,0,16018.3,bnpl,1
73.6,1.63,12512.77,17237.95,1.378,0,1,22000.88,grant,0
77.2,1.495,9245.82,10859.55,1.175,1,1,32407.86,micro_credit,0
89.8,0.8,13295.16,13454.98,1.012,0,0,11663.24,micro_credit,0
65.3,1.865,15159.56,7902.36,0.521,0,1,19326.94,bnpl,0
50.7,1.164,8000.0,19425.0,2.428,0,0,29156.25,bnpl,0
87.8,1.753,12484.96,8494.59,0.68,0,0,19774.61,grant,0
95.0,1.761,16899.02,17846.58,1.056,0,0,18326.07,grant,0
101.8,1.543,8000.0,11051.41,1.381,0,0,-1408.25,micro_credit,0
58.1,1.51,8000.0,10204.88,1.276,0,1,-5000.0,cash,0
80.3,1.55,8000.0,17371.48,2.171,0,0,28876.26,micro_credit,0
34.8,1.336,8000.0,7208.77,0.901,0,1,26930.55,micro_credit,0
70.2,1.476,8000.0,17145.31,2.143,1,0,-5000.0,cash,0
76.5,1.628,18256.86,5884.92,0.322,0,0,-5000.0,micro_credit,0
79.6,2.054,17283.82,13565.87,0.785,0,0,3150.55,grant,0
95.2,1.277,12263.23,15962.68,1.302,0,0,31083.78,micro_credit,0
144.0,1.66,8000.0,11919.54,1.49,0,0,-5000.0,bnpl,0
57.6,1.435,8000.0,13144.98,1.643,1,0,-2803.56,bnpl,0
103.0,1.55,9855.79,10093.61,1.024,0,0,14793.43,micro_credit,0
95.6,1.307,8000.0,10228.68,1.279,1,0,-5000.0,micro_credit,0
54.5,1.417,14668.76,13966.39,0.952,1,0,15484.62,grant,0
96.3,1.512,11798.28,11421.22,0.968,1,0,16776.52,bnpl,0
60.4,0.867,9316.8,26436.78,2.838,0,0,28671.88,micro_credit,1
99.1,1.896,10299.97,13474.09,1.308,0,0,882.27,micro_credit,0
67.1,1.722,17013.25,11195.92,0.658,1,0,3896.59,grant,0
75.0,1.718,8000.0,3418.99,0.427,0,0,2090.34,grant,0
44.5,1.408,9260.37,9421.16,1.017,0,0,38144.42,bnpl,1
83.2,1.634,13095.1,6461.66,0.493,0,0,30704.01,micro_credit,0
73.1,1.738,8000.0,5143.21,0.643,0,0,26722.01,cash,0
84.4,1.297,8000.0,22448.73,2.806,0,0,-5000.0,bnpl,1
116.1,1.298,13190.82,10089.59,0.765,1,0,22857.37,grant,0
61.4,1.504,10081.06,6966.0,0.691,0,0,25334.84,grant,0
62.2,1.486,8000.0,2953.41,0.369,0,0,8561.5,micro_credit,0
135.3,1.77,9811.72,10461.01,1.066,0,0,12404.39,bnpl,0
88.7,1.219,16341.2,17916.18,1.096,0,0,24927.34,micro_credit,0
86.0,1.555,13397.02,16739.02,1.249,1,0,5627.27,micro_credit,0
60.7,1.579,19871.84,6114.95,0.308,0,0,-5000.0,cash,0
79.1,1.564,10700.05,13824.18,1.292,1,0,7982.36,grant,0
112.2,1.102,8000.0,11421.01,1.428,0,1,-5000.0,bnpl,0
70.6,2.015,9990.59,13723.78,1.374,1,0,-5000.0,bnpl,0
59.6,1.445,8578.62,24462.68,2.852,0,0,22038.44,grant,0
47.2,1.619,12384.49,22631.14,1.827,0,0,40449.73,bnpl,0
49.6,1.323,8000.0,10628.44,1.329,1,0,20394.45,cash,0
99.7,1.529,8570.39,13140.66,1.533,0,0,-3032.57,grant,0
127.2,1.1,10755.08,36790.08,3.421,1,0,12122.4,bnpl,1
70.2,1.45,9125.46,25721.09,2.819,1,1,-5000.0,micro_credit,0
113.3,1.151,8778.02,9546.36,1.088,0,0,22593.96,grant,0
35.0,1.679,24610.77,5711.6,0.232,0,0,15414.71,cash,0
58.5,1.669,9982.78,8494.57,0.851,0,0,20781.7,bnpl,0
120.1,1.497,13682.75,5935.46,0.434,0,1,-5000.0,bnpl,0
86.8,1.966,11614.69,10176.31,0.876,0,0,11987.25,bnpl,0
43.7,1.719,14721.29,9427.16,0.64,0,1,3539.24,bnpl,0
81.6,1.428,9606.93,38362.93,3.993,0,0,7553.54,bnpl,0
66.0,1.369,13834.02,10941.59,0.791,0,0,311.29,cash,0
108.0,1.947,8000.0,4330.35,0.541,0,0,30135.25,cash,0
57.9,1.771,8000.0,19750.39,2.469,1,0,-5000.0,cash,0
93.3,1.554,8000.0,9663.68,1.208,0,0,24353.73,micro_credit,0
77.6,1.714,24086.29,5113.64,0.212,0,1,41109.83,micro_credit,0
77.6,1.298,8000.0,10894.18,1.362,0,1,28589.7,grant,0
71.8,1.973,8000.0,12008.27,1.501,1,1,-5000.0,cash,0
84.1,1.798,8189.9,2886.16,0.352,0,0,15581.07,micro_credit,0
85.9,1.663,17259.22,6707.09,0.389,1,0,24243.89,micro_credit,0
104.8,1.052,11428.25,9160.91,0.802,1,0,10532.59,grant,0
83.7,1.414,8000.0,12317.59,1.54,1,0,-5000.0,micro_credit,0
47.9,1.74,8000.0,17439.13,2.18,1,0,20326.64,bnpl,0
31.9,1.36,16938.58,7047.01,0.416,0,0,3640.72,cash,0
86.6,1.769,8837.93,8702.53,0.985,0,1,37602.66,bnpl,0
118.5,1.824,10284.5,7750.04,0.754,0,0,-2948.0,cash,0
88.1,1.667,18596.33,17287.65,0.93,0,0,-5000.0,grant,0
101.3,1.271,8326.62,13871.76,1.666,1,0,47922.01,grant,0
152.7,1.72,9113.95,16219.64,1.78,0,0,27977.8,micro_credit,0
67.0,2.053,10976.72,15894.98,1.448,0,0,23986.64,micro_credit,0
85.5,1.785,8000.0,8892.24,1.112,0,0,-5000.0,grant,0
86.0,1.768,12161.1,30362.72,2.497,1,0,11899.27,grant,0
91.7,1.244,8314.91,17721.71,2.131,0,0,27283.84,micro_credit,0
67.7,1.53,8000.0,9933.16,1.242,0,1,28026.9,micro_credit,0
89.4,1.69,10121.31,12135.43,1.199,0,0,114.22,micro_credit,0
92.5,1.668,12349.96,9051.46,0.733,0,0,-5000.0,bnpl,0
102.4,1.416,8000.0,17701.65,2.213,1,0,4943.77,micro_credit,0
101.5,1.723,13461.73,5702.87,0.424,0,1,33814.99,grant,0
81.5,1.447,10556.79,4550.86,0.431,0,0,19355.75,bnpl,0
49.3,1.171,8000.0,22291.9,2.786,0,0,673.26,bnpl,1
113.3,1.4,8000.0,6541.43,0.818,0,0,34244.61,grant,0
71.1,1.396,10636.09,15930.34,1.498,0,0,32113.18,cash,0
111.2,1.449,8000.0,9629.57,1.204,0,1,16685.05,cash,0
50.9,1.282,11553.05,11769.2,1.019,1,0,12590.35,micro_credit,0
56.0,1.485,8000.0,19724.35,2.466,1,0,30634.49,bnpl,0
28.8,1.29,8000.0,8454.78,1.057,0,0,10498.12,grant,1
38.8,1.292,8000.0,13548.04,1.694,0,0,13248.2,grant,1
57.0,1.6,8000.0,10410.7,1.301,0,1,42122.14,grant,0
108.5,1.186,14376.92,18887.74,1.314,1,0,-5000.0,grant,0
95.5,1.981,8000.0,7298.13,0.912,0,0,30317.91,micro_credit,0
81.8,1.704,11536.43,14986.17,1.299,1,0,-5000.0,grant,0
101.2,1.877,8926.45,11802.75,1.322,1,0,-5000.0,bnpl,0
87.9,1.71,9623.99,22435.38,2.331,0,0,5986.61,micro_credit,0
89.1,1.264,9792.79,10983.01,1.122,0,0,16055.54,bnpl,0
65.8,1.513,14353.1,9506.96,0.662,1,0,-5000.0,bnpl,0
118.7,1.937,8000.0,17664.98,2.208,0,0,2946.45,micro_credit,0
81.6,1.632,8906.32,7855.18,0.882,0,0,-429.74,grant,0
52.1,1.317,9602.41,8154.56,0.849,0,0,24276.94,bnpl,0
112.2,1.388,11022.92,15911.97,1.444,0,0,20496.04,grant,0
76.9,1.758,12295.79,6119.81,0.498,0,0,27644.81,micro_credit,0
97.2,1.336,10067.54,17603.11,1.749,0,0,8232.35,bnpl,0
101.8,2.212,8000.0,5655.74,0.707,0,1,17468.73,grant,0
93.0,1.485,19033.72,5789.3,0.304,1,0,24472.54,micro_credit,0
59.9,2.031,24261.16,7929.45,0.327,1,0,2107.97,micro_credit,0
96.5,1.442,9696.93,12258.36,1.264,0,0,-5000.0,grant,0
74.7,1.357,8000.0,26742.19,3.343,0,0,-5000.0,bnpl,0
95.3,1.472,8726.4,18670.58,2.14,0,0,18120.92,grant,0
89.3,1.821,8526.3,8632.33,1.012,0,0,-5000.0,cash,0
54.4,2.376,17328.47,5749.74,0.332,1,1,-5000.0,grant,0
87.0,1.703,12670.07,10506.76,0.829,1,0,9741.82,grant,0
83.2,1.574,8000.0,10653.14,1.332,1,0,-3325.32,grant,0
79.4,2.386,11676.89,10173.67,0.871,0,0,28592.43,bnpl,0
87.1,1.668,13004.92,37462.62,2.881,0,0,-5000.0,micro_credit,0
86.8,1.291,12707.92,7293.38,0.574,0,0,4487.4,cash,0
67.6,1.823,14962.53,6092.75,0.407,0,0,12988.81,cash,0
57.3,1.198,8976.29,10201.95,1.137,0,0,55680.9,grant,0
85.8,1.164,8000.0,21200.09,2.65,0,0,49591.97,grant,1
35.4,1.024,22969.77,14977.25,0.652,0,0,-3629.27,cash,0
88.4,0.812,9912.17,14476.79,1.461,0,1,28636.86,cash,0
49.7,1.574,8000.0,13911.36,1.739,0,1,-4116.23,grant,0
64.8,1.271,13266.69,19382.93,1.461,0,0,7776.83,cash,0
76.0,1.144,8648.54,11759.16,1.36,0,0,59174.28,grant,0
47.2,1.96,15499.86,14105.92,0.91,0,0,43655.17,bnpl,0
84.3,1.659,9663.35,23693.66,2.452,0,0,31736.45,bnpl,0
59.4,1.181,9033.17,7785.19,0.862,1,0,10856.56,bnpl,0
105.9,1.422,9708.23,12480.37,1.286,0,0,27271.76,cash,0
18.8,1.38,10884.31,23389.52,2.149,0,0,3145.76,bnpl,1
28.1,1.724,8000.0,6283.51,0.785,0,0,761.78,cash,0
70.4,1.381,8000.0,19798.99,2.475,0,0,34947.75,bnpl,0
91.3,1.231,9039.23,12045.1,1.333,0,0,22778.3,grant,0
91.7,1.344,10269.13,15545.15,1.514,0,1,38204.8,cash,0
92.6,1.771,10277.6,26258.7,2.555,0,1,19375.73,bnpl,0
53.5,1.943,13548.84,9474.18,0.699,0,1,3369.13,bnpl,0
82.4,1.68,10816.0,14345.9,1.326,0,0,42599.23,micro_credit,0
101.8,1.603,15117.22,6850.74,0.453,0,1,19162.69,cash,0
120.2,1.489,8000.0,8445.18,1.056,0,0,-5000.0,cash,0
55.4,1.446,8000.0,12192.67,1.524,0,0,28240.99,cash,0
52.3,1.975,12454.74,21307.6,1.711,0,0,158.98,cash,0
96.4,1.244,14773.81,13286.6,0.899,1,0,21958.52,cash,0
45.6,1.299,12948.73,7175.36,0.554,0,0,20337.71,micro_credit,0
40.8,1.787,8000.0,16379.16,2.047,0,0,23261.36,grant,1
57.6,1.713,11127.77,8987.92,0.808,0,0,-5000.0,grant,0
25.9,1.648,8000.0,12739.2,1.592,0,0,7257.93,grant,1
92.0,1.465,8533.45,18079.41,2.119,1,0,18031.04,micro_credit,0
82.9,1.681,8000.0,18328.89,2.291,0,0,23024.44,bnpl,0
49.6,1.482,9723.61,11226.44,1.155,1,0,18009.48,bnpl,0
110.8,1.853,8000.0,17019.9,2.127,0,0,35920.8,cash,0
84.7,1.855,24477.8,21227.23,0.867,0,0,16487.55,bnpl,0
101.1,1.591,10004.16,9963.88,0.996,0,0,40141.44,bnpl,0
54.5,1.979,12393.64,5599.21,0.452,0,0,18617.69,cash,0
22.5,1.725,14740.5,8727.24,0.592,0,0,14223.86,bnpl,0
123.9,1.408,8000.0,27307.45,3.413,0,0,47326.57,cash,0
75.1,1.833,18099.94,8035.57,0.444,0,0,3264.49,micro_credit,0
105.8,2.022,12750.13,7450.99,0.584,1,0,47767.1,grant,0
61.7,1.456,11545.51,28418.29,2.461,0,0,27371.57,micro_credit,0
85.4,1.68,10092.84,16431.85,1.628,1,1,-5000.0,grant,0
67.6,1.618,8000.0,14950.17,1.869,1,0,8319.52,cash,0
118.9,1.99,8025.57,11125.99,1.386,0,0,10668.94,grant,0
63.7,1.605,8000.0,6490.93,0.811,0,0,23208.8,bnpl,0
90.7,1.325,14807.81,8540.99,0.577,0,0,16556.97,micro_credit,0
95.5,1.541,12144.52,9099.4,0.749,0,0,8463.6,grant,0
69.9,1.341,9140.33,5157.77,0.564,0,0,3159.23,cash,0
67.9,1.478,8877.95,11684.63,1.316,0,0,20629.95,cash,0
96.9,1.368,8000.0,6814.96,0.852,0,0,3230.35,micro_credit,0
66.2,1.334,8000.0,9406.29,1.176,0,1,15265.68,micro_credit,0
89.9,1.394,8218.57,7261.31,0.884,0,0,11434.09,micro_credit,0
53.8,1.71,8000.0,9918.96,1.24,0,0,17419.93,cash,0
79.6,2.304,11584.35,6958.85,0.601,0,0,10281.64,cash,0
30.6,1.527,8000.0,19999.54,2.5,0,0,2108.28,bnpl,1
72.1,1.372,21643.99,10130.61,0.468,0,0,44986.03,cash,0
95.4,1.685,11683.47,15011.75,1.285,0,0,-5000.0,grant,0
68.0,1.787,9681.73,5581.12,0.576,0,0,11056.72,micro_credit,0
117.6,1.899,9624.8,20400.14,2.12,0,1,5402.87,micro_credit,0
32.4,1.291,19996.25,10397.32,0.52,1,1,7619.09,micro_credit,0
67.5,2.083,20571.9,40959.09,1.991,1,0,9137.19,cash,0
82.4,1.125,19237.57,6359.6,0.331,0,0,15901.96,micro_credit,0
47.6,1.385,8000.0,8653.06,1.082,1,0,2295.79,grant,0
61.3,1.783,8000.0,13647.31,1.706,0,0,33923.26,grant,0
62.2,1.349,8921.9,23129.15,2.592,0,0,15493.94,grant,0
61.7,1.685,8000.0,17584.05,2.198,0,0,19354.93,micro_credit,0
67.3,1.315,8000.0,16222.42,2.028,1,1,34121.65,bnpl,0
59.1,1.678,8000.0,8764.46,1.096,0,0,11440.94,bnpl,0
52.3,1.288,8000.0,14195.86,1.774,0,0,8628.08,bnpl,0
19.0,0.956,8000.0,15548.63,1.944,0,0,-5000.0,micro_credit,1
62.5,1.403,18485.69,9781.4,0.529,0,0,18893.8,micro_credit,0
78.5,0.953,13984.34,13608.75,0.973,0,0,21148.84,micro_credit,0
173.2,0.966,21506.56,10320.67,0.48,0,0,17171.92,grant,0
73.9,1.431,8000.0,14490.23,1.811,1,0,-5000.0,cash,0
93.8,1.433,8000.0,9437.94,1.18,0,1,34628.69,micro_credit,0
61.6,1.65,8000.0,18340.32,2.293,0,0,24339.14,grant,0
121.2,1.501,13371.68,12758.3,0.954,0,1,35325.69,cash,0
57.0,1.759,9066.9,11669.06,1.287,0,1,13651.54,grant,0
81.3,1.517,10901.12,28795.23,2.641,0,1,29738.09,micro_credit,0
96.7,1.422,8000.0,20443.4,2.555,0,0,27768.84,micro_credit,0
111.8,1.381,8925.82,4906.34,0.55,1,0,4935.52,micro_credit,0
99.9,1.419,13203.22,10885.9,0.824,0,0,17833.03,grant,0
46.3,1.574,8000.0,10907.51,1.363,0,0,-5000.0,micro_credit,0
105.1,1.768,12209.89,27904.78,2.285,0,0,-5000.0,grant,0
118.7,1.811,8897.72,22574.84,2.537,0,0,-5000.0,grant,0
54.4,1.38,8000.0,6760.78,0.845,0,0,34015.5,grant,0
68.5,1.649,8000.0,4441.15,0.555,0,0,16861.03,grant,0
27.2,1.531,8000.0,36062.25,4.508,1,0,28404.53,grant,1
77.6,1.904,8000.0,16299.89,2.037,0,1,15596.59,cash,0
81.6,1.906,13761.38,14168.81,1.03,0,0,-5000.0,micro_credit,0
51.0,1.516,10321.84,6492.4,0.629,0,0,55410.18,bnpl,0
112.9,1.719,10223.22,10756.71,1.052,0,0,-5000.0,bnpl,0
76.9,1.622,8000.0,14527.48,1.816,1,0,9205.34,bnpl,0
27.3,1.309,8216.32,34140.11,4.155,0,0,22017.96,micro_credit,1
41.6,1.686,8000.0,21927.13,2.741,0,0,3519.76,micro_credit,1
72.7,1.921,8000.0,5605.96,0.701,0,0,1495.21,micro_credit,0
101.0,1.125,8000.0,9431.99,1.179,0,0,21931.33,grant,0
105.0,1.42,8224.38,22802.95,2.773,0,0,-5000.0,grant,0
65.3,1.603,12114.38,9132.61,0.754,0,0,12619.94,micro_credit,0
15.0,1.366,12137.79,7042.64,0.58,0,0,13061.72,cash,0
86.2,1.454,10686.2,7118.82,0.666,0,0,8281.0,micro_credit,0
90.3,1.594,8000.0,13674.92,1.709,0,0,24862.98,grant,0
23.8,1.875,8507.35,15275.71,1.796,0,0,33550.44,cash,1
40.7,1.351,8691.95,7855.24,0.904,0,0,43228.86,bnpl,0
53.6,1.394,10850.59,6240.51,0.575,1,0,4877.75,micro_credit,0
82.9,1.457,9489.83,9035.06,0.952,0,0,-5000.0,micro_credit,0
83.0,2.041,9979.42,13682.81,1.371,0,0,24469.01,cash,0
43.3,2.027,10840.54,29659.01,2.736,0,0,-1194.59,cash,1
120.5,1.767,12693.79,13748.89,1.083,0,0,7526.48,bnpl,0
105.0,1.589,8000.0,6539.05,0.817,1,0,8654.78,micro_credit,0
82.7,1.534,17129.15,4133.56,0.241,0,0,14584.58,bnpl,0
29.6,1.763,9485.25,15226.39,1.605,1,0,-3549.89,bnpl,1
107.0,1.842,12869.24,11257.23,0.875,1,0,22437.43,bnpl,0
57.3,1.79,20790.81,21781.93,1.048,1,0,-1132.84,bnpl,0
84.0,1.188,12804.8,15488.17,1.21,1,0,-5000.0,bnpl,0
46.0,1.471,8643.93,6215.41,0.719,0,0,19001.62,micro_credit,0
81.3,1.496,8000.0,21521.1,2.69,1,0,41797.33,cash,0
62.9,1.379,12345.46,9927.7,0.804,0,1,9490.85,grant,0
93.5,1.015,17912.18,12581.39,0.702,1,0,4593.12,micro_credit,0
72.8,1.539,8000.0,27507.56,3.438,0,0,12743.86,micro_credit,0
86.1,1.816,8000.0,15684.21,1.961,0,1,7182.46,grant,0
96.2,0.954,9465.49,8677.15,0.917,0,0,19780.73,cash,0
86.8,1.352,8000.0,11374.55,1.422,0,0,-4139.56,micro_credit,0
96.0,1.447,8000.0,9836.43,1.23,0,0,-5000.0,grant,0
34.2,1.204,10396.6,25103.25,2.415,0,0,17637.32,micro_credit,1
59.8,1.678,8049.86,8250.01,1.025,0,0,-5000.0,bnpl,0
31.2,1.441,10626.69,11462.74,1.079,1,0,4512.6,grant,1
51.4,1.72,8000.0,18523.87,2.315,0,0,-5000.0,bnpl,0
56.2,1.139,8000.0,20669.65,2.584,0,0,21281.31,cash,1
99.5,1.696,8000.0,10077.55,1.26,0,0,-2043.58,micro_credit,0
108.3,1.215,14796.77,19754.26,1.335,0,0,44933.16,micro_credit,0
64.8,1.749,27632.37,8606.71,0.311,1,0,-5000.0,cash,0
28.0,1.75,8000.0,9849.98,1.231,0,0,19871.64,cash,1
79.6,1.669,10938.35,24425.34,2.233,0,0,-5000.0,bnpl,0
58.1,1.334,14379.89,19835.32,1.379,0,0,20122.06,micro_credit,0
104.6,1.22,20957.48,27939.07,1.333,0,0,25241.2,micro_credit,1
119.5,1.086,8000.0,8067.37,1.008,0,0,24986.63,grant,0
48.7,1.762,18338.19,17718.45,0.966,1,1,17107.52,cash,0
50.3,1.313,17367.02,18557.73,1.069,0,0,11297.65,cash,0
64.6,0.983,8000.0,34588.64,4.324,1,1,-5000.0,bnpl,1
79.7,1.832,8000.0,13381.0,1.673,0,1,28882.48,bnpl,0
75.3,2.353,8000.0,21640.04,2.705,0,1,8889.57,cash,0
94.3,1.674,8000.0,13710.92,1.714,0,0,-5000.0,grant,0
90.1,1.633,13192.41,21632.78,1.64,1,0,18617.16,cash,0
78.7,1.303,8000.0,23218.49,2.902,0,0,37854.04,micro_credit,0
69.0,1.563,8000.0,23040.67,2.88,0,0,23977.5,micro_credit,0
123.5,1.304,8348.99,13729.41,1.644,1,0,23636.81,grant,0
69.6,1.306,14715.16,17972.97,1.221,1,0,-4492.93,bnpl,0
108.9,1.878,10513.69,12629.35,1.201,0,0,21973.04,micro_credit,0
53.5,1.558,8000.0,19575.82,2.447,0,0,-5000.0,bnpl,0
112.6,1.458,8997.93,8559.07,0.951,0,0,6815.3,cash,0
110.5,0.853,17582.06,14558.25,0.828,0,0,-5000.0,bnpl,0
48.1,2.019,8000.0,6410.27,0.801,1,0,32471.66,bnpl,0
83.5,1.287,10910.5,6876.3,0.63,0,0,31814.79,cash,0
101.5,1.699,11646.34,31845.57,2.734,0,0,11994.35,micro_credit,0
45.5,1.676,25304.09,6918.0,0.273,1,0,5493.67,bnpl,0
85.4,1.535,8000.0,22404.61,2.801,0,0,53760.73,grant,0
79.9,1.297,8000.0,13931.21,1.741,0,1,31869.79,grant,0
86.9,1.549,8000.0,6629.67,0.829,0,0,27025.52,cash,0
97.8,1.117,20240.23,16576.46,0.819,0,0,37192.7,micro_credit,0
41.4,1.168,9255.41,15939.12,1.722,0,0,44334.49,grant,1
92.7,1.482,8000.0,23777.63,2.972,1,1,-5000.0,cash,0
115.7,1.47,20247.0,17560.59,0.867,0,0,9534.08,bnpl,0
62.0,1.455,12000.97,12612.4,1.051,1,0,1311.39,micro_credit,0
70.9,1.572,8000.0,15552.75,1.944,0,0,-5000.0,bnpl,0
46.2,1.078,8000.0,5735.92,0.717,1,0,-762.38,bnpl,0
123.8,1.403,10721.3,15067.04,1.405,1,0,14359.17,micro_credit,0
73.1,1.215,19013.74,32661.69,1.718,0,0,-5000.0,grant,1
49.4,1.472,8000.0,15967.03,1.996,1,0,-1108.9,grant,0
129.1,1.883,10890.63,21265.52,1.953,0,1,31906.21,cash,0
60.9,1.321,10251.35,19416.91,1.894,0,0,14503.09,cash,0
35.6,1.325,9573.1,11595.63,1.211,1,0,47505.76,micro_credit,1
40.4,1.692,19343.29,42162.96,2.18,0,0,4720.85,grant,1
87.3,1.71,10807.19,11448.74,1.059,1,0,19847.56,micro_credit,0
15.0,1.741,10475.35,10696.15,1.021,0,0,48843.52,cash,1
58.1,1.437,24250.66,7649.28,0.315,1,0,2097.92,cash,0
71.3,1.785,10867.27,5937.57,0.546,0,0,2420.97,micro_credit,0
59.8,1.528,11987.62,15214.64,1.269,0,0,-5000.0,bnpl,0
101.6,1.621,18454.06,15433.71,0.836,0,0,31823.81,cash,0
86.7,1.927,12519.13,11454.6,0.915,1,0,52903.82,grant,0
97.2,1.711,8000.0,5951.69,0.744,0,0,17268.88,micro_credit,0
78.6,1.378,10545.37,28962.14,2.746,1,0,24517.24,bnpl,0
46.5,1.519,8000.0,9767.0,1.221,1,0,4554.92,grant,0
63.1,1.199,9344.61,8880.97,0.95,0,0,-5000.0,cash,0
126.3,1.855,8355.41,12214.15,1.462,1,1,-5000.0,cash,0
117.4,2.081,10620.19,21225.15,1.999,0,0,15155.16,micro_credit,0
41.6,1.435,10502.49,9414.43,0.896,1,0,8064.24,bnpl,0
72.7,1.527,10132.63,6745.74,0.666,1,0,-906.29,cash,0
42.9,1.824,8000.0,22799.06,2.85,0,0,36954.29,cash,1
67.4,0.821,8411.96,11669.09,1.387,0,1,-5000.0,cash,0
62.1,1.978,13349.27,7269.84,0.545,0,0,-5000.0,bnpl,0
66.8,1.49,12373.22,9005.37,0.728,0,0,21206.99,bnpl,0
123.4,1.778,9685.26,10930.01,1.129,0,0,5579.88,bnpl,0
104.5,1.374,10100.6,12433.61,1.231,0,0,2967.88,bnpl,0
40.7,1.64,9629.13,15916.83,1.653,1,0,2395.19,cash,1
105.5,1.305,21384.42,4623.0,0.216,1,0,19825.86,grant,0
86.9,1.327,11979.8,24434.11,2.04,0,0,-5000.0,cash,0
87.6,0.852,8000.0,29615.15,3.702,0,0,1527.92,micro_credit,1
45.7,1.495,25098.36,4414.17,0.176,0,0,-5000.0,cash,0
112.4,2.07,9447.03,6115.13,0.647,0,0,49725.18,grant,0
114.9,1.74,8000.0,11766.76,1.471,0,0,9113.52,grant,0
83.3,1.956,14701.98,6683.81,0.455,0,0,36776.94,micro_credit,0
82.8,1.742,19147.81,6559.25,0.343,0,0,11355.14,micro_credit,0
61.7,1.111,11568.25,48115.33,4.159,0,0,-5000.0,cash,1
74.2,1.729,10460.75,11359.16,1.086,0,0,-5000.0,grant,0
80.8,1.338,8000.0,23319.05,2.915,0,0,29250.94,micro_credit,0
76.3,1.614,16049.66,13675.85,0.852,0,0,28272.32,cash,0
67.6,1.917,11434.08,13449.92,1.176,1,1,-5000.0,micro_credit,0
82.2,1.317,8000.0,7719.8,0.965,0,0,-5000.0,micro_credit,0
128.1,1.923,23486.13,6169.71,0.263,1,0,13282.57,grant,0
42.7,1.355,8000.0,23903.29,2.988,0,1,4867.87,micro_credit,1
101.7,1.719,27907.13,5357.78,0.192,0,0,34666.2,grant,0
103.7,1.277,15571.69,14543.21,0.934,1,0,7905.43,grant,0
54.4,1.349,24894.83,12092.92,0.486,1,0,26078.34,grant,0
55.2,1.332,16105.13,5754.47,0.357,1,0,4526.15,bnpl,0
75.9,1.581,9130.79,15028.46,1.646,0,0,24471.4,grant,0
93.4,1.274,8709.16,23321.23,2.678,0,0,28103.65,cash,1
40.7,1.648,8000.0,12404.5,1.551,1,0,46159.81,bnpl,1
51.3,1.316,13958.07,5174.3,0.371,0,0,610.41,cash,0
89.9,1.372,8900.06,18202.28,2.045,1,1,19587.83,micro_credit,0
81.7,1.455,11690.45,11293.1,0.966,0,0,20240.5,cash,0
62.6,1.499,8000.0,11857.86,1.482,0,1,-2598.02,grant,0
47.1,1.622,10891.45,18593.75,1.707,0,0,4239.74,bnpl,0
85.2,1.704,12090.17,7676.28,0.635,0,0,14688.54,bnpl,0
84.1,1.552,8000.0,13203.92,1.65,0,1,51825.56,grant,0
66.0,1.346,11707.76,14354.35,1.226,0,0,33469.23,grant,0
43.6,1.755,12909.13,11179.3,0.866,1,0,18096.37,cash,0
100.7,1.794,8000.0,18978.97,2.372,0,0,10835.61,bnpl,0
76.8,1.57,9250.11,23282.08,2.517,1,0,10493.08,cash,0
47.0,1.44,10725.86,23767.35,2.216,1,0,22855.7,cash,0
53.7,2.246,11149.49,24378.7,2.187,0,1,9269.14,cash,0
88.3,1.785,17123.17,21623.86,1.263,0,0,27699.55,cash,0
67.1,1.39,11495.07,20195.61,1.757,0,1,7991.03,grant,0
